year,name,fraction,sex,rank
2009,Jacob,0.009992,m,1
2009,Isabella,0.011023,f,1
2009,Ethan,0.009362,m,2
2009,Emma,0.008846,f,2
2009,Michael,0.008938,m,3
2009,Olivia,0.008615,f,3
2009,Alexander,0.008603,m,4
2009,Sophia,0.008373,f,4
2009,William,0.008455,m,5
2009,Ava,0.007842,f,5
2009,Joshua,0.008328,m,6
2009,Emily,0.007586,f,6
2009,Daniel,0.008278,m,7
2009,Madison,0.007531,f,7
2009,Jayden,0.008158,m,8
2009,Abigail,0.00711,f,8
2009,Noah,0.008139,m,9
2009,Chloe,0.005885,f,9
2009,Christopher,0.007715,m,10
2009,Mia,0.005647,f,10
2009,Anthony,0.007696,m,11
2009,Elizabeth,0.005456,f,11
2009,Aiden,0.007558,m,12
2009,Addison,0.005268,f,12
2009,Matthew,0.007545,m,13
2009,Alexis,0.004909,f,13
2009,David,0.007287,m,14
2009,Samantha,0.004773,f,14
2009,Joseph,0.007042,m,15
2009,Ella,0.00477,f,15
2009,Andrew,0.007013,m,16
2009,Natalie,0.00465,f,16
2009,Logan,0.006822,m,17
2009,Grace,0.004108,f,17
2009,James,0.006703,m,18
2009,Lily,0.004001,f,18
2009,Benjamin,0.006189,m,19
2009,Alyssa,0.003938,f,19
2009,Ryan,0.006185,m,20
2009,Ashley,0.00386,f,20
2009,Elijah,0.006051,m,21
2009,Sarah,0.003846,f,21
2009,Gabriel,0.006051,m,22
2009,Taylor,0.003747,f,22
2009,Christian,0.005965,m,23
2009,Hannah,0.003742,f,23
2009,Samuel,0.005735,m,24
2009,Brianna,0.003634,f,24
2009,Nathan,0.00572,m,25
2009,Hailey,0.003615,f,25
2009,John,0.005719,m,26
2009,Kaylee,0.003565,f,26
2009,Jackson,0.005718,m,27
2009,Lillian,0.003388,f,27
2009,Tyler,0.005446,m,28
2009,Anna,0.003364,f,28
2009,Jonathan,0.005369,m,29
2009,Leah,0.003354,f,29
2009,Dylan,0.005361,m,30
2009,Allison,0.003251,f,30
2009,Caleb,0.005186,m,31
