year,name,percent,sex,predicted_gender
2009,Jacob,0.009992,male,male
2009,Isabella,0.011023,female,female
2009,Ethan,0.009362,male,male
2009,Emma,0.008846,female,female
2009,Michael,0.008938,male,male
2009,Olivia,0.008615,female,female
2009,Alexander,0.008603,male,male
2009,Sophia,0.008373,female,female
2009,William,0.008455,male,male
2009,Ava,0.007842,female,female
2009,Joshua,0.008328,male,male
2009,Emily,0.007586,female,female
2009,Daniel,0.008278,male,male
2009,Madison,0.007531,female,female
2009,Jayden,0.008158,male,male
2009,Abigail,0.00711,female,female
2009,Noah,0.008139,male,male
2009,Chloe,0.005885,female,female
2009,Christopher,0.007715,male,male
2009,Mia,0.005647,female,female
2009,Anthony,0.007696,male,male
2009,Elizabeth,0.005456,female,female
2009,Aiden,0.007558,male,male
2009,Addison,0.005268,female,male
2009,Matthew,0.007545,male,male
2009,Alexis,0.004909,female,male
2009,David,0.007287,male,male
2009,Samantha,0.004773,female,female
2009,Joseph,0.007042,male,male
2009,Ella,0.00477,female,female
2009,Andrew,0.007013,male,male
2009,Natalie,0.00465,female,female
2009,Logan,0.006822,male,male
2009,Grace,0.004108,female,female
2009,James,0.006703,male,male
2009,Lily,0.004001,female,female
2009,Benjamin,0.006189,male,male
2009,Alyssa,0.003938,female,female
2009,Ryan,0.006185,male,male
2009,Ashley,0.00386,female,female
2009,Elijah,0.006051,male,male
2009,Sarah,0.003846,female,female
2009,Gabriel,0.006051,male,male
2009,Taylor,0.003747,female,female
2009,Christian,0.005965,male,male
2009,Hannah,0.003742,female,female
2009,Samuel,0.005735,male,male
2009,Brianna,0.003634,female,female
2009,Nathan,0.00572,male,male
2009,Hailey,0.003615,female,female
2009,John,0.005719,male,male
2009,Kaylee,0.003565,female,female
2009,Jackson,0.005718,male,male
2009,Lillian,0.003388,female,female
2009,Tyler,0.005446,male,male
2009,Anna,0.003364,female,female
2009,Jonathan,0.005369,male,male
2009,Leah,0.003354,female,female
2009,Dylan,0.005361,male,male
2009,Allison,0.003251,female,female
2009,Caleb,0.005186,male,male
2009,Victoria,0.003144,female,female
2009,Nicholas,0.00512,male,male
2009,Avery,0.003111,female,male
2009,Gavin,0.005065,male,male
2009,Gabriella,0.003036,female,female
2009,Mason,0.005041,male,male
2009,Nevaeh,0.003022,female,female
2009,Evan,0.004849,male,male
2009,Kayla,0.002886,female,female
2009,Landon,0.004794,male,male
2009,Sofia,0.002814,female,female
2009,Angel,0.004646,male,male
2009,Brooklyn,0.0028,female,female
2009,Brandon,0.004643,male,male
2009,Riley,0.002784,female,male
2009,Lucas,0.004536,male,male
2009,Savannah,0.002767,female,female
2009,Isaac,0.004507,male,male
2009,Evelyn,0.002758,female,female
2009,Isaiah,0.004363,male,male
2009,Aubrey,0.002671,female,female
2009,Jack,0.004258,male,male
2009,Peyton,0.002626,female,female
2009,Jose,0.004157,male,male
2009,Alexa,0.002623,female,female
2009,Kevin,0.004139,male,male
2009,Makayla,0.002601,female,female
2009,Jordan,0.004084,male,male
2009,Layla,0.002573,female,female
2009,Justin,0.004068,male,male
2009,Lauren,0.00257,female,female
2009,Luke,0.004065,male,male
2009,Zoe,0.002544,female,female
2009,Brayden,0.004057,male,male
2009,Sydney,0.002499,female,female
2009,Liam,0.00404,male,male
2009,Audrey,0.002474,female,female
2009,Carter,0.003853,male,male
2009,Julia,0.002467,female,female
2009,Owen,0.003841,male,male
2009,Jasmine,0.002411,female,female
2009,Connor,0.00382,male,male
2009,Arianna,0.002391,female,female
2009,Zachary,0.003813,male,male
2009,Claire,0.002383,female,female
2009,Aaron,0.003763,male,male
2009,Brooke,0.00237,female,female
2009,Robert,0.003696,male,male
2009,Amelia,0.002322,female,female
2009,Hunter,0.003653,male,male
2009,Destiny,0.002279,female,female
2009,Thomas,0.003643,male,male
2009,Morgan,0.002278,female,male
2009,Cameron,0.003601,male,male
2009,Bella,0.00224,female,female
2009,Adrian,0.0036,male,male
2009,Madelyn,0.002221,female,female
2009,Wyatt,0.003492,male,male
2009,Katherine,0.002189,female,female
2009,Chase,0.003484,male,male
2009,Maya,0.002169,female,female
2009,Julian,0.003482,male,male
2009,Kylie,0.002168,female,female
2009,Austin,0.003437,male,male
2009,Aaliyah,0.002161,female,female
2009,Charles,0.003435,male,male
2009,Madeline,0.002124,female,female
2009,Jeremiah,0.00341,male,male
2009,Sophie,0.002107,female,female
2009,Jason,0.003264,male,male
2009,Kimberly,0.002087,female,female
2009,Juan,0.002964,male,male
2009,Kaitlyn,0.002078,female,female
2009,Xavier,0.00293,male,male
2009,Charlotte,0.00207,female,female
2009,Luis,0.002896,male,male
2009,Alexandra,0.002057,female,female
2009,Sebastian,0.002825,male,male
2009,Maria,0.002043,female,female
2009,Henry,0.002781,male,male
2009,Jocelyn,0.002032,female,female
2009,Aidan,0.00274,male,male
2009,Valeria,0.002021,female,female
2009,Ian,0.002739,male,male
2009,Andrea,0.002006,female,female
2009,Adam,0.002675,male,male
2009,Trinity,0.001989,female,female
2009,Nathaniel,0.002559,male,male
2009,Zoey,0.001974,female,female
2009,Diego,0.002554,male,male
2009,Gianna,0.001945,female,female
2009,Brody,0.002543,male,male
2009,Mackenzie,0.001927,female,female
2009,Jesus,0.00254,male,male
2009,Jessica,0.001877,female,female
2009,Carlos,0.002536,male,male
2009,Faith,0.001859,female,female
2009,Tristan,0.002523,male,male
2009,Camila,0.001845,female,female
2009,Dominic,0.002514,male,male
2009,Autumn,0.001833,female,female
2009,Cole,0.002489,male,male
2009,Ariana,0.001825,female,female
2009,Alex,0.002439,male,male
