monitored_group,size_base,size_opt,(size_base - size_opt) / size_base
[{'sex': 'male'}],5824,5688,0.023351648351648352
[{'sex': 'female'}],5824,5688,0.023351648351648352
[{'sex': 'male'}],5824,5688,0.023351648351648352
[{'sex': 'female'}],5824,5688,0.023351648351648352
[{'sex': 'female'}],5824,5688,0.023351648351648352
"[{'sex': 'female'}, {'sex': 'male'}]",6024,5888,0.02257636122177955
"[{'sex': 'female'}, {'sex': 'male'}]",6024,5888,0.02257636122177955
"[{'sex': 'female'}, {'sex': 'male'}]",6024,5888,0.02257636122177955
"[{'sex': 'female'}, {'sex': 'male'}]",6024,5888,0.02257636122177955
"[{'sex': 'female'}, {'sex': 'male'}]",6024,5888,0.02257636122177955
