monitored_group,size_base,size_opt,(size_base - size_opt) / size_base
[{'race': 'Caucasian'}],795,655,0.1761006289308176
[{'race': 'African-American'}],809,669,0.173053152039555
[{'race': 'Hispanic'}],793,653,0.17654476670870115
[{'sex': 'Male'}],785,645,0.17834394904458598
[{'sex': 'Female'}],789,649,0.17743979721166034
"[{'race': 'Caucasian', 'sex': 'Male'}, {'race': 'African-American'}]",1192,1024,0.14093959731543623
"[{'race': 'African-American'}, {'race': 'Hispanic'}]",966,798,0.17391304347826086
"[{'race': 'Caucasian'}, {'race': 'Caucasian', 'sex': 'Male'}]",1054,886,0.15939278937381404
"[{'race': 'Hispanic'}, {'race': 'Caucasian', 'sex': 'Female'}]",1180,1012,0.1423728813559322
"[{'race': 'African-American'}, {'sex': 'Male'}]",1068,900,0.15730337078651685
"[{'race': 'African-American', 'sex': 'Male'}, {'race': 'Caucasian', 'sex': 'Male'}, {'race': 'Hispanic'}]",1350,1154,0.1451851851851852
"[{'race': 'Caucasian'}, {'race': 'African-American'}, {'race': 'Hispanic'}]",1125,929,0.17422222222222222
"[{'race': 'Caucasian', 'sex': 'Male'}, {'race': 'African-American'}, {'sex': 'Female'}]",1346,1150,0.14561664190193166
"[{'race': 'African-American', 'sex': 'Male'}, {'race': 'Caucasian', 'sex': 'Female'}, {'race': 'Caucasian', 'sex': 'Female'}]",1346,1150,0.14561664190193166
"[{'race': 'Caucasian'}, {'race': 'African-American'}, {'race': 'African-American', 'sex': 'Female'}]",1232,1036,0.1590909090909091
"[{'race': 'Caucasian', 'sex': 'Male'}, {'race': 'Caucasian', 'sex': 'Female'}, {'race': 'African-American'}, {'race': 'Hispanic'}]",1504,1280,0.14893617021276595
"[{'race': 'African-American', 'sex': 'Male'}, {'race': 'Caucasian', 'sex': 'Male'}, {'race': 'Hispanic'}, {'sex': 'Female'}]",1504,1280,0.14893617021276595
"[{'race': 'Caucasian'}, {'race': 'African-American'}, {'race': 'Hispanic'}, {'sex': 'Male'}]",1386,1162,0.16161616161616163
"[{'race': 'Caucasian', 'sex': 'Male'}, {'race': 'African-American'}, {'sex': 'Female'}, {'race': 'African-American', 'sex': 'Male'}]",1382,1158,0.16208393632416787
"[{'race': 'African-American', 'sex': 'Male'}, {'race': 'Caucasian', 'sex': 'Female'}, {'race': 'Caucasian', 'sex': 'Female'}, {'race': 'African-American', 'sex': 'Female'}]",1382,1158,0.16208393632416787
"[{'race': 'Caucasian'}, {'race': 'African-American'}, {'race': 'Caucasian', 'sex': 'Female'}, {'race': 'African-American', 'sex': 'Female'}]",1268,1044,0.17665615141955837
"[{'race': 'Caucasian', 'sex': 'Male'}, {'race': 'Caucasian', 'sex': 'Female'}, {'race': 'African-American', 'sex': 'Male'}, {'race': 'African-American', 'sex': 'Female'}, {'race': 'Hispanic'}]",1540,1288,0.16363636363636364
"[{'race': 'African-American', 'sex': 'Male'}, {'race': 'Caucasian', 'sex': 'Male'}, {'race': 'Hispanic'}, {'race': 'African-American', 'sex': 'Female'}, {'sex': 'Female'}]",1540,1288,0.16363636363636364
"[{'race': 'Caucasian'}, {'race': 'African-American'}, {'race': 'Hispanic'}, {'sex': 'Male'}, {'sex': 'Female'}]",1540,1288,0.16363636363636364
"[{'race': 'Caucasian', 'sex': 'Male'}, {'race': 'African-American'}, {'sex': 'Female'}, {'race': 'African-American', 'sex': 'Male'}, {'race': 'African-American', 'sex': 'Female'}]",1418,1166,0.1777150916784203
"[{'race': 'African-American', 'sex': 'Male'}, {'race': 'Caucasian', 'sex': 'Female'}, {'race': 'Caucasian', 'sex': 'Female'}, {'race': 'African-American', 'sex': 'Female'}, {'race': 'Hispanic', 'sex': 'Male'}]",1540,1288,0.16363636363636364
"[{'race': 'Caucasian'}, {'race': 'African-American'}, {'race': 'Caucasian', 'sex': 'Female'}, {'race': 'African-American', 'sex': 'Female'}, {'race': 'Caucasian', 'sex': 'Male'}, {'race': 'Hispanic'}]",1576,1296,0.17766497461928935
"[{'race': 'Caucasian', 'sex': 'Male'}, {'race': 'Caucasian', 'sex': 'Female'}, {'race': 'African-American', 'sex': 'Male'}, {'race': 'African-American', 'sex': 'Female'}, {'race': 'Hispanic', 'sex': 'Male'}, {'race': 'Hispanic', 'sex': 'Female'}]",1576,1296,0.17766497461928935
"[{'race': 'Caucasian'}, {'race': 'African-American'}, {'race': 'Hispanic'}, {'sex': 'Male'}, {'sex': 'Female'}, {'race': 'Caucasian', 'sex': 'Male'}]",1576,1296,0.17766497461928935
"[{'race': 'Caucasian', 'sex': 'Male'}, {'race': 'African-American'}, {'sex': 'Female'}, {'race': 'African-American', 'sex': 'Male'}, {'race': 'African-American', 'sex': 'Female'}, {'race': 'Hispanic'}]",1576,1296,0.17766497461928935
"[{'race': 'African-American', 'sex': 'Male'}, {'race': 'Caucasian', 'sex': 'Female'}, {'race': 'Caucasian', 'sex': 'Female'}, {'race': 'African-American', 'sex': 'Female'}, {'race': 'Hispanic', 'sex': 'Male'}, {'race': 'African-American'}]",1576,1296,0.17766497461928935
"[{'race': 'Caucasian'}, {'race': 'African-American'}, {'race': 'Caucasian', 'sex': 'Female'}, {'race': 'African-American', 'sex': 'Female'}, {'race': 'Caucasian', 'sex': 'Male'}, {'race': 'Hispanic'}, {'race': 'African-American', 'sex': 'Male'}]",1612,1304,0.19106699751861042
