,gender,datetime,calculated_value
0,F,1997-09-21,0.7848484848484848
1,F,1997-10-05,0.7495395948434622
2,F,1997-10-19,0.8240429818670248
3,F,1997-11-02,0.7855477855477856
4,F,1997-11-16,0.820738137082601
5,F,1997-11-30,0.8626822157434403
6,F,1997-12-14,0.7746192893401015
7,F,1997-12-28,0.8549939831528279
8,F,1998-01-11,0.7965496728138013
9,F,1998-01-25,0.6536748329621381
10,F,1998-02-08,0.7442572741194488
11,F,1998-02-22,0.7887640449438202
12,F,1998-03-08,0.7967479674796748
13,F,1998-03-22,0.69432918395574
14,F,1998-04-05,0.7485505035093073
15,F,1998-04-19,0.7188081936685289
16,F,1998-05-03,0.7358916478555305
17,M,1997-09-21,0.8042553191489362
18,M,1997-10-05,0.7923841059602649
19,M,1997-10-19,0.8159863945578232
20,M,1997-11-02,0.8377942599161561
21,M,1997-11-16,0.8036951501154734
22,M,1997-11-30,0.850910957146523
23,M,1997-12-14,0.8323977546110666
24,M,1997-12-28,0.809489575844716
25,M,1998-01-11,0.7927444281763462
26,M,1998-01-25,0.7842773135252243
27,M,1998-02-08,0.7847171197648788
28,M,1998-02-22,0.8045217391304348
29,M,1998-03-08,0.7398047099368179
30,M,1998-03-22,0.8016042780748663
31,M,1998-04-05,0.7759920195078697
32,M,1998-04-19,0.7485029940119761
33,M,1998-05-03,0.75
